name,language,type,most_streamed_game,average_stream_duration,followers_gained_per_stream,avg_viewers_per_stream,avg_games_per_stream,total_time_streamed,total_followers,total_views,total_games_streamed,active_days_per_week,most_active_day,day_with_most_followers_gained
tck10,Portuguese,personality,VALORANT,7.8,445.0,2.648,1.1,8.245,481000,2860000,29,4.8,Wednesday,Sunday
esl_dota2,English,esports,Dota 2,20.3,606.0,54.843,1.0,34.047,802000,93100000,1,4.4,Friday,Sunday
xayoo_,Polish,personality,League of Legends,6.4,1.457,76.275,2.0,5.564,1030000,53700000,132,2.2,Sunday,Sunday
rostislav_999,Russian,personality,Dota 2,3.9,1.14,7.175,1.1,2.873,868000,5470000,14,3.2,Monday,Monday
gorgc,English,personality,Dota 2,6.6,312.0,36.21,1.1,15.475,720000,83400000,88,6.2,Monday,Monday
buster,Russian,personality,Just Chatting,3.2,2.963,85.485,1.7,4.024,3950000,114000000,125,3.5,Wednesday,Friday
domingo,French,personality,Just Chatting,4.5,915.0,61.195,2.0,7.294,1780000,121000000,443,4.1,Tuesday,Sunday
elxokas,Spanish,personality,World of Warcraft,6.2,2.134,52.43,1.6,11.068,3940000,96900000,137,5.0,Monday,Monday
quackitytoo,Spanish,personality,Minecraft,1.9,18.808,14.365,1.3,517.0,4620000,3510000,33,1.6,Friday,Wednesday
k4sen,Japanese,personality,League of Legends,6.2,428.0,5.546,1.4,8.836,786000,10200000,248,3.7,Tuesday,Sunday
s1mple,English,personality,Counter-Strike,3.5,7.152,186.28,1.1,1.889,3740000,99100000,20,1.4,Wednesday,Monday
silvername,Russian,personality,Hearthstone,6.2,343.0,69.4,1.2,12.717,862000,159000000,115,5.3,Thursday,Wednesday
gotaga,French,personality,Fortnite,6.9,1.893,83.426,1.8,14.351,4330000,185000000,187,5.3,Monday,Monday
tolkin,German,personality,League of Legends,6.4,158.0,6.062,1.3,10.965,309000,11800000,105,5.4,Thursday,Wednesday
djmariio,Spanish,personality,EA Sports FC 24,4.0,6.534,12.638,1.3,865.0,1540000,3220000,12,0.7,Friday,Friday
shadowkekw,Russian,personality,Just Chatting,2.3,619.0,10.742,1.4,2.093,562000,9740000,63,4.3,Saturday,Sunday
valorant_pacific,English,esports,Valorant,6.4,1.77,3.556,1.0,1.121,315000,634000,1,1.2,Sunday,Saturday
revedtv,German,personality,Just Chatting,6.5,1.383,31.529,2.2,5.526,1110000,25100000,253,2.8,Wednesday,Saturday
hinanotachiba7,Japanese,personality,VALORANT,5.2,1.235,241.0,1.2,1.869,467000,94200,29,3.1,Wednesday,Tuesday
quin69,English,personality,Path of Exile,8.7,252.0,38.716,1.4,22.547,840000,113000000,272,6.6,Thursday,Monday
luquet4,Portuguese,personality,Grand Theft Auto V,7.8,2.233,5.657,1.5,6.787,1760000,4450000,33,3.0,Thursday,Friday
rivers_gg,Spanish,personality,Just Chatting,3.6,8.757,6.622,2.1,2.634,6060000,4560000,204,5.6,Tuesday,Wednesday
paymoneywubby,English,personality,Just Chatting,3.5,647.0,12.124,1.4,3.465,634000,11900000,114,3.0,Thursday,Sunday
elspreen,Spanish,personality,Just Chatting,3.1,10.67,37.943,2.4,3.527,9240000,32900000,189,3.2,Tuesday,Tuesday
warcraft,English,esports,World of Warcraft,5.6,1.603,147.236,1.0,2.844,803000,82600000,1,1.0,Saturday,Tuesday
cellbit,Portuguese,personality,Just Chatting,5.6,2.462,62.004,3.0,9.223,3360000,84100000,1151,4.2,Saturday,Sunday
clix,English,personality,Fortnite,4.4,4.766,78.053,1.2,7.467,7540000,123000000,49,5.5,Wednesday,Friday
maximilian_dood,English,personality,Just Chatting,6.8,461.0,33.731,2.1,13.589,1280000,84300000,1121,5.1,Monday,Tuesday
dkincc,Russian,personality,Just Chatting,5.0,2.739,1.608,1.0,813.0,471000,370000,10,0.5,Wednesday,Sunday
knekro,Spanish,personality,League of Legends,6.5,663.0,37.604,2.4,12.95,1140000,64400000,724,5.7,Tuesday,Tuesday
eslcsb,English,esports,Counter-Strike,6.5,1.084,59.976,1.0,6.053,1240000,67000000,1,2.4,Wednesday,Sunday
valorant_emea,English,esports,Valorant,7.8,1.591,10.674,1.0,2.297,576000,3860000,1,1.6,Saturday,Wednesday
trymacs,German,personality,Fortnite,6.0,1.611,67.78,1.9,12.653,3560000,148000000,173,5.3,Monday,Thursday
thesketchreal,English,personality,Madden NFL 24,2.6,7.574,0.0,1.2,303.0,962000,0,25,2.6,Friday,Thursday
ironmouse,English,personality,Just Chatting,5.6,1.699,18.66,2.0,7.369,1960000,21500000,393,4.3,Friday,Friday
plaqueboymax,English,personality,Just Chatting,4.5,1.035,220.0,1.7,3.208,735000,157000,66,4.5,Monday,Monday
dmitry_lixxx,Russian,personality,Just Chatting,4.2,833.0,26.405,2.2,6.441,1410000,44700000,422,4.9,Saturday,Friday
elajjaz,English,personality,Dark Souls,8.1,137.0,25.834,2.1,18.785,481000,70400000,1148,5.9,Wednesday,Sunday
therealknossi,German,personality,Just Chatting,4.6,1.766,40.784,1.5,14.505,2340000,68700000,48,3.7,Thursday,Saturday
agent00,English,personality,Just Chatting,4.9,2.738,616.0,2.1,3.487,1560000,361000,140,1.8,Thursday,Tuesday
wtcn,Turkish,personality,VALORANT,4.8,1.556,75.799,2.5,8.948,2930000,142000000,260,4.8,Friday,Tuesday
gamerbrother,German,personality,FIFA 23,5.1,1.325,9.215,1.5,2.207,570000,3620000,22,3.5,Friday,Tuesday
esfandtv,English,personality,World of Warcraft,8.6,588.0,35.686,2.1,18.613,1350000,81900000,327,6.2,Thursday,Monday
nikof,French,personality,Fortnite,4.7,585.0,8.528,1.2,4.951,649000,9460000,57,3.4,Saturday,Sunday
jonvlogs,Portuguese,personality,Grand Theft Auto V,8.7,1.854,12.474,1.6,8.848,1970000,13400000,71,2.6,Friday,Wednesday
